Line Name	Line Synonym	Grain Yield (kg ha -1)	Plant Height (centimeter)	Heading Date (days from planting)	Plump Grain (% by wt on 6/64” sieve )	Grain Protein (kg ha -1)	Stem Length (centimeter)	Kernel Weight (milligram)	Barley Color (&deg;asbc)	Malt Extract (percent)	Wort Color (asbc)	Wort Protein (percent)	Soluble Protein/ Total Protein (percent)	Diastatic Power (&deg;asbc)	Alpha Amylase (20&deg;du)	Malt Beta-glucan (parts per million)	Residual Beta-glucanase (percent)	Beta-glucanase Activity (u/kg malt)	Beta-glucanase Thermostability (u/kg malt)	Check
FEG156-09	07MN-11	4358	87	48	46.5	15.753665373006	79.5	27.598822140825	79	76.76799405139	2.3	6.65	44.004578569562	310	107.78805989729	274	58.296288620918	594.76965043443	346.72863204688	0
FEG156-41	07MN-12	4583	94	50	48	14.608454718176	87	27.442614260948	81	76.927473342366	1.86	5.58	40.25323639699	213	83.589061825539	367	59.195546695444	480.85957615369	284.64745494157	0
FEG160-03	07MN-13	4677	91	49.5	81	15.554420798	84	30.503233714198	86	77.123009808992	1.59	5.40	35.551532761353	227	79.581654709345	402	66.649814126394	429.81809242871	286.47295968535	0
FEG160-10	07MN-14	5557	92.5	51	80	14.923375244938	85	30.558882235529	85	77.370337769917	1.49	4.91	33.555376680554	192	66.561980186984	445	63.382109784882	466.77729772192	295.85329929301	0
FEG160-27	07MN-15	4889	92.5	49.5	84.2	15.165769813772	84.5	32.358445813617	89	77.882039009762	1.67	6.11	42.160870702671	223	89.491269962697	361	84.897213677692	643.34855101231	546.18499404526	0
FEG160-38	07MN-16	5346	91	53	66.8	15.326510726423	84	28.685051176739	85	76.992991292983	1.99	5.24	36.059949026108	186	89.495058909464	405	61.227000409493	579.69878316377	354.93217634151	0
FEG161-03	07MN-17	4418	93	49.5	40.7	15.689552076538	84.5	27.132743362832	85	75.820504895585	1.71	5.17	34.703005583132	232	68.14949130035	344	64.827962054274	474.74227837946	307.76574408343	0
FEG161-25	07MN-18	4784	94.5	48.5	80	15.78747553816	87	30.613222995263	90	77.481733180384	1.64	5.80	37.108810573546	248	89.310371036286	230	57.276463982764	567.11879609328	324.82559298385	0
FEG161-39	07MN-19	4422	91.5	50	62.2	15.436464162721	84	28.236252224	86	76.170532755781	1.72	5.34	35.015360685859	221	71.365388916716	353	68.898703943413	369.79170839175	254.78169437212	0
FEG162-16	07MN-20	4731	96	50.5	58	15.876305646037	89.5	29.01827489664	82	76.664872063703	1.48	5.50	34.845286076813	233	71.978103953222	215	58.573538172199	437.34577760032	256.16889598722	0
FEG162-22	07MN-21	4475	96.5	50.5	50.7	15.652232721382	88	29.273819594871	85	75.979987400044	1.54	5.51	36.099668201579	222	70.275241901754	247	63.128793619684	405.0399920016	255.69686062787	0
FEG162-26	07MN-22	4754	95	50.5	65.6	14.9953125	86	30.685716164432	85	77.296655493745	1.66	5.64	38.127066223346	233	77.815830821259	220	65.293495794568	477.24824120603	311.61206030151	0
FEG162-34	07MN-23	5043	90	51.5	62.4	15.300267625433	83	28.543527026844	84	77.439767092566	1.57	5.64	37.861949726356	217	76.448595894054	177	57.216036451481	434.04894548349	248.3456028651	0
FEG162-43	07MN-24	4969	93	50	67.6	15.308314344618	86	30.53244934118	82	77.105181982309	1.51	5.45	37.332994558428	219	70.284976803943	248	59.591437115786	473.07164480323	281.91019172553	0
FEG163-02	07MN-25	5201	94.5	52.5	68.4	14.388640284667	87.5	29.132419947886	82	77.524070148681	1.98	5.14	36.364432502364	187	74.220793157174	229	61.010128454097	444.93856520016	271.45759017043	0
FEG163-07	07MN-26	5648	92.5	51.5	72.4	14.017714839543	85.5	30.586297760211	84	77.725734950676	1.56	4.77	34.312205207728	182	71.049064973804	426	62.809100127497	435.21916716477	273.35724247858	0
FEG163-14	07MN-27	4952	92.5	52	69.6	14.081417894281	86	30.34301875568	82	78.038217632966	1.73	5.44	39.5986315684	198	81.815359023257	379	58.752338998908	512.73236058365	301.24225464721	0
FEG163-21	07MN-28	4952	90	50.5	69	14.267148961489	82	28.149139280078	81	77.779344747741	1.64	5.78	41.710848452421	186	89.399069240096	281	62.171974969261	332.07396149949	206.4569402229	0
FEG163-27	07MN-29	5866	88.5	50	75.1	13.80822907679	82	31.723092166668	78	79.358867126116	1.83	5.69	42.056983323778	174	90.331643066758	309	60.271269205852	532.48454636092	320.93519441675	0
